mass_gev,limit_zb,sensitivity_median_zb,sensitivity_plus1sigma_zb,sensitivity_plus2sigma_zb,sensitivity_minus1sigma_zb,sensitivity_minus2sigma_zb
5.9,1000.70653696696823,153.78097534179688,440.80910668989685,533.8794185993833,153.62654113769523,153.62654113769523
6,153.70653696696823,153.78097534179688,440.80910668989685,533.8794185993833,153.62654113769523,153.62654113769523
7,32.12284998251195,32.10560417175293,100.32020857616614,120.63490229308125,31.998084074721152,31.997510910034176
8,10.005820120729364,9.894383907318115,31.069585350107694,38.45400294978672,9.768233081710937,9.766684532165527
9,4.069474821432604,4.045068740844727,12.082074339572188,16.159110369354373,3.9420457650417298,3.9394949923941858
10,2.0041456170335836,2.024369478225708,5.842958362663149,8.487049310516007,1.935636066028431,1.9325443470371044
12,0.7184662097794869,0.7638777792453766,2.1381730657380422,3.2413584610055466,0.6985619137852277,0.6936110345146086
15,0.2793806367995894,0.3310261517763138,0.8620433998488806,1.3667018503399953,0.2753491592089881,0.26935779831506046
20,0.12718768460434002,0.16317055374383926,0.3992411100312817,0.7016225693887227,0.12426776986838943,0.11898756624242944
30,0.07928461855901137,0.09842456132173538,0.22880221027120806,0.40630902408666625,0.07108017802653029,0.06559592782603287
40,0.07723082650534732,0.08659458532929419,0.19894896388979483,0.33815359677289886,0.062193320773229394,0.05539905520573288
50,0.0836842739284709,0.08779389411211015,0.20006962595604996,0.36600204092025335,0.06132962028384635,0.05452103551229351
70,0.10181871267410215,0.09860944375395775,0.22551812460928705,0.43810302887577923,0.06862051365503173,0.059697392037137954
100,0.13426105962492726,0.12276501208543777,0.2847463380028234,0.5414552592331057,0.08550207209435576,0.07393894810780402
120,0.15800080802997574,0.14105786383152008,0.3261214094670633,0.616173746153775,0.09730449822559988,0.08425213129287365
150,0.19576092234317144,0.17040133476257324,0.3903414478706776,0.7362664033354149,0.11651324017602287,0.10044218450116699
200,0.26041262027341394,0.2195026054978371,0.5032576845678671,0.9394796674403502,0.14980317076181093,0.1285811546176831
400,0.5200000000000001,0.41943082213401794,0.9469425324186536,1.7812649320220522,0.2869081467133132,0.24405822358553225
1000,1.2999999999999998,1.0243686437606812,2.3139995184333793,4.336353094771631,0.7037303687824068,0.5946482502263921
2000,2.6,2.042233109474182,4.607510383312693,8.615707107302114,1.3985709021373358,1.1798408925159853
3000,3.9000000000000012,3.0402108430862422,6.870078273333514,12.898204681396365,2.090790023441876,1.768523675277389
5000,6.499999999999998,5.100534200668336,11.532780671596447,21.46817298927746,3.4790829632519538,2.936978743778739
7000,9.100000000000003,7.105373144149779,16.012377745511895,30.021216405149403,4.85901043674191,4.10865496148778
10000,12.999999999999998,10.135174274444582,22.925197133397546,42.850408532809396,6.933118905349452,5.868613996717429
1e17,1.3e14,10.135174274444582,22.925197133397546,42.850408532809396,6.933118905349452,5.868613996717429
