# mx [GeV]: 100000.0
# sigma_p [cm^2]: 1e-29
# gamma/pi: 0.5
# depth [m]: 10.6
# target: full
# Columns: v [km/s], f(v) [s/km]
1.000000000000000000e+00 5.132732276767629741e-03
1.309119378676933731e+00 3.370202428089679250e-03
1.713793547627480818e+00 2.388452479206907338e-03
2.243560344250625782e+00 1.747077604131520943e-03
2.937088323889585961e+00 1.296982815669968977e-03
3.844999241689611047e+00 9.713114592294448202e-04
5.033563018293985891e+00 7.316164678403466867e-04
6.589534891040212727e+00 5.544853811357918329e-04
8.626487822328538613e+00 4.202177934051109435e-04
1.129310237813087170e+01 3.230604667131514837e-04
1.478401916859368370e+01 2.498126571451590077e-04
1.935404598833724421e+01 1.969546640766223038e-04
2.533675665913685648e+01 1.611103380877554174e-04
3.316883913529789396e+01 1.380055022670944698e-04
4.342197008023634908e+01 1.299411761902544247e-04
5.684454249236738832e+01 1.434688209305522990e-04
7.441629214878255993e+01 1.998657722518951065e-04
9.741981014125542515e+01 3.671188865180424516e-04
1.001744652187066293e+02 3.930732070997896514e-04
1.145584909937004028e+02 5.355545496276860719e-04
1.275341613229451525e+02 6.442375561605267901e-04
1.289425167686941904e+02 6.553470634093535316e-04
1.433265425436879354e+02 7.479424493995256518e-04
1.577105683186817373e+02 8.466798865659757190e-04
1.669574420311777203e+02 9.104123699965986638e-04
1.720945940936754823e+02 9.449791572086112344e-04
1.864786198686692842e+02 1.029428269021986529e-03
2.008626456436630292e+02 1.076868390324275645e-03
2.152466714186568311e+02 1.089439363961313117e-03
2.296306971936505761e+02 1.089170691562623772e-03
2.440147229686443779e+02 1.077510543937399085e-03
2.583987487436381230e+02 1.053032967018334085e-03
2.727827745186319248e+02 1.015780960151381343e-03
2.871668002936256698e+02 9.685047731442010272e-04
3.015508260686194717e+02 9.129271286929016137e-04
3.159348518436132167e+02 8.550093960945843227e-04
3.303188776186070186e+02 7.956584752118695068e-04
3.447029033936007636e+02 7.210233497030359498e-04
3.590869291685945655e+02 6.649607620739343694e-04
3.734709549435883105e+02 6.018843841029466188e-04
3.878549807185821123e+02 5.410295041729948568e-04
4.022390064935759142e+02 4.808525541035918232e-04
4.166230322685696592e+02 4.242600086807598670e-04
4.310070580435634042e+02 3.705023228645114232e-04
4.453910838185572061e+02 3.209153450816049058e-04
4.597751095935510079e+02 2.767087309391797010e-04
4.741591353685447530e+02 2.357781639767212172e-04
4.885431611435384980e+02 1.985324256672223793e-04
5.029271869185322998e+02 1.638539054728787149e-04
5.173112126935260449e+02 1.368715226422558061e-04
5.316952384685198467e+02 1.110137351129129136e-04
5.460792642435135349e+02 8.875422577919305509e-05
5.604632900185073368e+02 7.006285254300844659e-05
5.748473157935011386e+02 5.409159704290836561e-05
5.892313415684949405e+02 4.060406736330579672e-05
6.036153673434886286e+02 2.935485996943533417e-05
6.179993931184824305e+02 2.051991303123815706e-05
6.323834188934762324e+02 1.288333613862348526e-05
6.467674446684699205e+02 6.887900836250253990e-06
6.611514704434637224e+02 1.947251148351571406e-06
6.678297681247108812e+02 0.000000000000000000e+00
